iter	Passed	Remaining
0	4	682
1	8	662
2	12	636
3	17	621
4	20	595
5	23	575
6	27	551
7	29	529
8	32	513
9	35	495
10	38	480
11	40	466
12	42	451
13	45	437
14	47	425
15	49	415
16	51	404
17	53	392
18	55	382
19	57	373
20	59	365
21	61	357
22	63	348
23	64	340
24	66	333
25	68	326
26	70	320
27	72	313
28	73	308
29	75	302
30	77	296
31	78	290
32	80	285
33	82	280
34	83	275
35	85	271
36	87	267
37	89	262
38	90	258
39	92	253
40	94	249
41	95	246
42	97	242
43	99	238
44	100	235
45	102	232
46	104	228
47	106	225
48	107	222
49	109	219
50	111	216
51	113	213
52	114	210
53	116	206
54	118	204
55	119	201
56	121	198
57	123	195
58	124	192
59	126	189
60	128	187
61	130	184
62	131	182
63	133	179
64	135	177
65	137	175
66	140	173
67	141	171
68	143	168
69	145	166
70	147	164
71	149	161
72	151	159
73	153	157
74	155	155
75	157	153
76	159	150
77	161	148
78	163	146
79	165	144
80	166	142
81	170	141
82	171	138
83	173	136
84	175	134
85	177	132
86	179	129
87	181	127
88	183	125
89	185	123
90	187	121
91	189	119
92	191	117
93	193	115
94	195	112
95	197	110
96	198	108
97	200	106
98	202	104
99	204	102
100	206	100
101	208	98
102	210	95
103	212	93
104	214	91
105	215	89
106	217	87
107	219	85
108	221	83
109	223	81
110	225	79
111	227	77
112	229	75
113	230	72
114	232	70
115	234	68
116	236	66
117	238	64
118	240	62
119	242	60
120	244	58
121	245	56
122	247	54
123	249	52
124	251	50
125	253	48
126	254	46
127	256	44
128	258	42
129	260	40
130	261	37
131	263	35
132	265	33
133	267	31
134	268	29
135	270	27
136	272	25
137	274	23
138	275	21
139	277	19
140	279	17
141	281	15
142	282	13
143	284	11
144	286	9
145	288	7
146	290	5
147	291	3
148	293	1
149	295	0
