iter	Passed	Remaining
0	20	2982
1	35	2629
2	49	2409
3	61	2229
4	73	2139
5	88	2132
6	103	2109
7	116	2073
8	129	2031
9	145	2030
10	158	2004
11	173	1989
12	187	1980
13	200	1949
14	213	1924
15	226	1894
16	238	1862
17	251	1843
18	263	1818
19	278	1810
20	291	1790
21	306	1783
22	321	1774
23	336	1767
24	351	1755
25	365	1744
26	379	1731
27	393	1714
28	407	1698
29	419	1679
30	432	1661
31	445	1642
32	456	1619
33	468	1598
34	481	1581
35	495	1567
36	509	1555
37	522	1539
38	535	1523
39	548	1507
40	562	1495
41	575	1480
42	589	1466
43	601	1448
44	614	1433
45	627	1418
46	639	1402
47	651	1383
48	662	1365
49	675	1350
50	688	1336
51	703	1326
52	721	1320
53	743	1321
54	760	1313
55	774	1300
56	796	1299
57	809	1283
58	823	1270
59	836	1254
60	847	1236
61	859	1220
62	872	1205
63	885	1189
64	898	1174
65	911	1159
66	922	1142
67	935	1128
68	950	1115
69	962	1100
70	976	1087
71	990	1072
72	1004	1059
73	1017	1044
74	1029	1029
75	1041	1013
76	1054	999
77	1066	984
78	1077	968
79	1089	953
80	1102	939
81	1115	925
82	1128	910
83	1144	899
84	1159	886
85	1174	874
86	1188	860
87	1203	847
88	1217	834
89	1231	820
90	1246	808
91	1262	795
92	1277	783
93	1294	771
94	1308	757
95	1323	744
96	1336	730
97	1353	718
98	1367	704
99	1381	690
100	1393	676
101	1407	662
102	1421	648
103	1434	634
104	1449	621
105	1462	607
106	1475	592
107	1486	578
108	1498	563
109	1512	549
110	1526	536
111	1539	522
112	1551	508
113	1570	495
114	1585	482
115	1601	469
116	1614	455
117	1629	441
118	1644	428
119	1656	414
120	1668	399
121	1680	385
122	1693	371
123	1706	357
124	1718	343
125	1732	329
126	1745	316
127	1758	302
128	1770	288
129	1784	274
130	1795	260
131	1808	246
132	1823	233
133	1835	219
134	1848	205
135	1861	191
136	1874	177
137	1887	164
138	1898	150
139	1909	136
140	1923	122
141	1934	109
142	1954	95
143	1970	82
144	1989	68
145	2005	54
146	2018	41
147	2033	27
148	2048	13
149	2062	0
